id,name,ingredients,description,category,price
0,Kumpir,"Patates, Peynir, Mısır, Sosis, Mayonez","Patates pişirilir, içine peynir, mısır, sosis eklenir ve üzerine mayonez sürülerek servis edilir.",Potato Dish,10.99
1,İskender,"Döner Kebap, Yoğurt, Tereyağı, Domates Sosu, Ekmek","Döner et, yoğurt ve tereyağı ile soslanan ekmek üzerine konularak servis edilir.",Kebab,15.5
2,Adana Kebap,"Dana Kıyması, Biber Salçası, Baharatlar, Soğan, Sumak",Baharatlarla harmanlanmış dana kıyması şişe dizilir ve mangalda pişirilir.,Kebab,18.75
3,Lahmacun,"Kıyma, Soğan, Domates, Biber, Baharatlar","Kıyma ve baharatlarla hazırlanan harç, ince hamurun üzerine sürülerek fırında pişirilir.",Turkish Pizza,8.99
4,Hünkar Beğendi,"Kuzu Etı, Beyaz Un, Süt, Yoğurt, Beyaz Peynir","Kuzu eti haşlanarak rendelenmiş beyaz peynir, yoğurt ve süt karışımının üzerine eklenir.",Meat Dish,25.99
5,Ali Nazik Kebabı,"Bostan Patlıcanı, Yoğurt, Sarımsak, Zeytinyağı, Kırmızı Pul Biber","Bostan patlıcanı közlenip ezilir, yoğurt, sarımsak ve zeytinyağı eklenerek karıştırılır.",Kebab,12.5
6,Baklava,"Yufka, Ceviz, Şeker, Su, Tereyağı","Yufka katları arasına ceviz içi konularak hazırlanan baklava, fırında pişirildikten sonra şekerli şerbetle buluşturulur.",Dessert,9.99
7,Balık Tava,"Balık, Un, Limon, Tuz, Zeytinyağı","Balıklar una bulanıp tavada kızartılarak, üzerine limon ve zeytinyağı eklenerek servis edilir.",Seafood,14.99
8,Beyti Kebap,"Dana Kıyması, Baharatlar, Yoğurt, Tereyağı, Domates Sosu","Baharatlı dana kıyması, şişe sarılıp mangalda pişirilir ve üzerine yoğurtlu sos ve tereyağlı domates sos eklenir.",Kebab,22.5
9,Börek,"Yufka, Peynir, Yumurta, Süt, Tereyağı","Yufka katları arasına peynir ve yumurta karışımı konularak hazırlanan börek, fırında pişirilir.",Pastry,11.25
10,Ciğer Sote,"Ciğer, Soğan, Yeşil Biber, Domates, Baharatlar","Ciğerler doğranıp sotelenerek, üzerine doğranmış sebzeler ve baharatlar eklenerek soteleme işlemi tamamlanır.",Meat Dish,16.75
11,Çiğ Köfte,"İnce Bulgur, Kırmızı Mercimek, Soğan, Domates Salçası, Baharatlar","İnce bulgur, kırmızı mercimek, soğan ve baharatlarla hazırlanan karışım, yoğrulup şekil verilerek servis edilir.",Appetizer,7.99
12,Çılbır,"Yumurta, Yoğurt, Sarımsak, Tereyağı, Sirke","Haşlanmış yumurtalar, yoğurt ve sarımsak sosu ile servis edilir.",Egg Dish,13.5
13,Tavuk Döner,"Tavuk Göğsü, Yoğurt, Baharatlar, Limon, Sarımsak","Marine edilmiş tavuk göğsü, döner şeklinde pişirilir ve üzerine yoğurtlu sos eklenir.",Kebab,19.95
14,Fırın Makarna,"Makarna, Béchamel Sos, Kaşar Peyniri, Domates Sosu, Baharatlar","Makarna haşlanır, üzerine béchamel sos, kaşar peyniri ve domates sosu eklenerek fırında pişirilir.",Pasta,11.99
15,Fırın Tavuk,"Tavuk, Zeytinyağı, Baharatlar, Limon, Soğan","Tavuk parçaları baharatlarla marine edilir, fırında pişirilir ve üzerine zeytinyağı ve limon sıkılarak servis edilir.",Meat Dish,24.5
16,Hamsi Tava,"Hamsi, Un, Limon, Tuz, Zeytinyağı","Hamsiler una bulanıp kızartılarak, limon ve zeytinyağı eklenerek servis edilir.",Seafood,17.25
17,Havuç Tarator,"Havuç, Yoğurt, Sarımsak, Zeytinyağı, Tuz","Rendelenmiş havuç, yoğurt, sarımsak ve zeytinyağı ile hazırlanan sos, tuz eklenerek servis edilir.",Salad,9.75
18,İmam Bayıldı,"Patlıcan, Domates, Soğan, Sarımsak, Zeytinyağı","Patlıcanlar kızartılıp, içine domates, soğan ve sarımsaklı sos eklenerek fırında pişirilir.",Vegetable Dish,14.5
19,İskilip Dolması,"Kuzu Kıyması, Pirinç, Soğan, Nane, Tuz","Pirinç ve kuzu kıyması karışımı ile hazırlanan iç malzeme, asma yaprağına sarılarak pişirilir.",Stuffed Grape Leaves,20.0
20,İslim Kebap,"Kuzu Etı, Patates, Soğan, Domates, Baharatlar","Kuzu eti, patates ve baharatlarla hazırlanan kebap, fırında pişirilerek servis edilir.",Kebab,23.75
21,Ispanaklı Karnabahar,"Ispanak, Karnabahar, Soğan, Sarımsak, Zeytinyağı","Ispanak ve karnabahar, soğan ve sarımsaklı sos ile sotelenerek servis edilir.",Vegetable Dish,18.5
22,Kadayıf,"Kadayıf, Ceviz, Şeker, Su, Tereyağı","Kadayıf katları arasına ceviz içi konularak hazırlanan kadayıf, fırında pişirildikten sonra şekerli şerbetle buluşturulur.",Dessert,10.25
23,Karides Güveç,"Karides, Domates, Soğan, Sarımsak, Zeytinyağı",Karides ve sebzeler soslanıp güveçte fırında pişirilerek servis edilir.,Seafood,12.99
24,Karnabahar Kızartması,"Karnabahar, Un, Yumurta, Tuz, Zeytinyağı","Karnabahar, una bulanıp yumurta ile kaplanarak kızartılır ve zeytinyağı ile servis edilir.",Vegetable Dish,21.0
25,Kavurmalı Pilav,"Dana Kavurma, Pirinç, Soğan, Baharatlar, Tereyağı","Dana kavurma, pirinç ve baharatlarla hazırlanan pilav, tereyağı ile sotelenerek servis edilir.",Rice Dish,16.5
26,Kısır,"Bulgur, Domates Salçası, Limon Suyu, Nane, Soğan","Bulgur, domates salçası ve baharatlarla hazırlanan kısır, limon suyu ile karıştırılarak servis edilir.",Salad,19.99
27,Kuzu Güveç,"Kuzu Etı, Patates, Soğan, Domates, Baharatlar","Kuzu eti, sebzeler ve baharatlar güveçte fırında pişirilerek servis edilir.",Meat Dish,13.75
28,Kuzu İncik,"Kuzu İncik, Soğan, Sarımsak, Zeytinyağı, Baharatlar","Kuzu incik, soğan ve baharatlarla marine edilip fırında pişirilir.",Meat Dish,15.0
29,Kuzu Kelle Paça Çorbası,"Kuzu Kelle Paça, Soğan, Limon, Baharatlar, Nohut","Kuzu kelle paça, soğan ve baharatlarla kaynatılarak içine nohut eklenip çorba haline getirilir.",Soup,23.5
30,Kuzu Tandır,"Kuzu Etı, Yoğurt, Baharatlar, Limon, Sarımsak","Kuzu eti, yoğurtlu sos ve baharatlarla marine edilip fırında tandırda pişirilir.",Meat Dish,22.99
31,Künefe,"Tel Kadayıf, Peynir, Şeker, Su, Tereyağı","Tel kadayıf katları arasına peynir konularak hazırlanan künefe, fırında pişirildikten sonra şekerli şerbetle buluşturulur.",Dessert,10.5
32,Mantı,"Dana Kıyması, Un, Yoğurt, Sarımsak, Tereyağı","İnce hamurla yapılan mantı, içine kıyma konularak kaynar suda haşlanır ve üzerine yoğurtlu sos ve tereyağı eklenir.",Pasta,17.99
33,Mercimek Çorbası,"Kırmızı Mercimek, Soğan, Domates, Tereyağı, Baharatlar","Kırmızı mercimek, soğan ve baharatlarla hazırlanan çorba, tereyağı ile sotelenerek servis edilir.",Soup,14.0
